Source,Target,Weight
1006,1220,1
1007,1586,6
1007,1522,4
1007,1359,1
1007,190,1
1007,161,2
1007,1506,3
1007,431,1
1019,1395,1
1024,1114,1
1025,440,1
1025,1220,1
1026,431,1
1030,909,129
1030,1186,24
1030,358,1
1030,724,4
1030,2178,1
1036,1555,1
1043,2139,1
1043,1727,1
1043,1220,1
1045,697,1
1054,1609,1
1054,664,1
1057,1801,33
1057,440,1
1057,1444,80
1057,1186,72
1057,2115,93
1057,2322,1
1063,77,3
1075,420,2
1133,2121,1
1079,1699,1
1079,1929,1
1083,1555,1
1086,1114,2
1087,299,1
1092,1092,1
1093,2068,1
1097,589,1
1097,1903,1
1097,1929,9
1099,2115,1
1099,600,1
1105,1441,2
1105,2157,1
1105,2186,2
1106,72,4
1111,1220,4
1113,2115,1
1113,593,3
1113,2115,4
1117,431,8
1123,2113,2
1125,2058,2
1126,863,2
1126,2288,3
1126,982,1
1132,328,1
1134,1522,1
1135,1820,1
1136,1610,1
1140,1220,1
1143,664,1
1178,1608,1
1178,1114,1
1178,593,2
1178,593,3
1256,2121,1
1155,1278,1
1155,2036,3
1163,90,1
1166,1166,1
1167,638,2
1172,1172,1
1175,1017,1
1175,298,1
1176,664,1
1190,2099,1
1180,1922,1
1194,1156,1
1198,2099,1
1204,1032,1
1203,0,7
1206,1220,9
1210,1522,1
1210,431,1
1214,440,5
1214,1165,1
1214,1222,3
1217,1901,1
1217,1358,1
1218,381,1
1222,1222,42
1222,1222,92
1227,536,2
1230,2034,1
1230,227,2
1230,1818,2
1234,1515,1
1239,352,1
1239,827,1
1239,1866,1
1245,2151,3
1245,431,2
1245,164,1
1245,1444,1
1245,1895,2
1245,892,1
1245,1608,1
1249,2350,3
1250,24,1
1260,1193,1
1262,941,1
1264,664,1
1265,1444,18
1265,851,19
1271,931,1
1271,182,1
1271,2201,1
1273,213,1
1275,1162,1
1281,140,1
1290,1165,1
1291,593,1
1291,892,1
1291,666,1
1291,1671,1
1291,1526,2
1291,1664,1
1291,1715,1
1298,2015,1
1303,1078,2
1304,0,4
1306,1671,1
1309,1309,1
1322,298,1
1323,25,1
1350,1801,3
1350,1357,1
1404,2074,4
1408,535,1
1426,1664,2
1426,556,2
1428,2151,3
1428,2115,1
1446,1446,14
1446,1446,2
1446,2288,14
1446,1812,7
1446,1446,5
1446,1446,6
1446,1446,1
1447,1447,1
1474,1474,1
1474,1474,2
1324,2115,88
1325,1715,32
1326,0,9
1326,640,5
1326,2054,1
1326,1911,1
1326,1911,2
1326,348,1
1331,1715,1
1333,1220,1
1333,2272,1
1334,760,1
1334,2115,1
1335,2096,1
1336,1747,2
1336,1263,2
1336,2339,7
1337,2115,1
1339,776,2
1342,2068,1
1344,507,1
1351,527,2
1352,507,1
1352,1011,13
1356,401,74
1356,411,2
1361,2307,1
1360,1169,1
1364,383,1
1366,1185,2
1371,697,1
1371,409,2
1372,1444,1
1372,440,1
1376,1671,1
1377,417,2
1381,2337,1
1406,1385,1
1421,1421,258
1409,771,3
1411,570,3
1412,1237,1
1417,451,1
1422,644,4
1422,1616,5
1425,406,17
1425,2096,4
